,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
TCGA-3C-AAAU,1.3197106,2.4993365,1.7607619,1.1015472,0.0,2.1607628,0.86782634,0.048064407,0.0,1.0610951,0.29121774,1.2541095,3.3546932,0.0,2.025231,0.0,0.0,0.84413385,2.038785,0.0,0.0,0.0,0.58592284,0.0,0.0,1.4251885,0.0,0.0,0.50951314,0.0,0.0,1.9473721,3.53634,1.132667,3.4206388,1.7942832,0.0,0.310445,2.9106894,1.0445379,0.0,2.2032542,0.0,1.8617932,1.819392,1.5337131,0.25781938,0.0,0.0,0.0,0.0,4.3076167,0.0,2.990836,1.85258,2.9165356,3.0756896,3.4659379,0.0,0.0,1.0430921,3.8146908,0.0,4.5312433
TCGA-3C-AALI,0.0,0.55252635,0.43057168,1.713921,0.0,0.85600805,0.15935011,0.0,2.652964,0.0,3.640854,0.86850655,7.0152164,1.6173449,0.0,1.7554691,2.4607296,0.0,6.0917387,0.0,4.24234,0.0,0.0,0.0,0.0,0.0,0.0,4.840845,0.0,0.114193425,0.047249172,0.0,0.8794513,0.0,3.295906,3.3348246,1.3443689,0.0,0.0,0.0,0.0,0.0,0.0,0.103620484,0.0,0.2840304,0.0,0.0,2.956433,0.0,1.5296928,0.43024105,3.272325,0.88334715,3.9885745,2.0803938,0.53317976,5.7004046,0.0,1.9905858,0.0,0.0,0.0,0.0
TCGA-3C-AALJ,0.4313979,1.9645697,0.4397257,0.17745394,0.0,1.9259453,0.0,0.0,2.229868,0.0,1.253886,1.2679148,1.7745281,2.1285384,0.0,0.0,1.3822087,0.0,4.010781,0.0,0.885993,0.0,0.68115246,0.0,0.0,0.0,0.0,2.7945497,0.045801707,0.0,0.0,0.0,0.9497369,2.4346123,1.9337711,2.7112262,0.33079126,0.0,0.0,0.0,0.0,0.0,0.0,0.10284439,0.0,0.7655338,0.0,0.0,1.1042551,0.0,0.0,2.0059125,0.0,0.8059614,3.1631856,1.7565134,0.4091639,3.549454,0.0,1.4484415,0.0,3.11313,0.0,2.2046795
TCGA-3C-AALK,0.7819185,2.4278185,0.0,0.84061944,1.8139296,0.9468093,0.0,0.0,2.8391078,0.0,1.1020157,0.8290488,0.6841922,3.4066362,0.0,0.0,0.570399,0.0,2.205935,0.0,0.0,0.5971216,0.94962573,0.7293574,0.0,0.0,0.0,0.92871153,0.91653085,2.0162723,0.0,0.8850542,3.669751,0.14102717,1.3787342,1.7077016,2.43769,2.3315778,0.0,0.0,0.0,0.0,2.117062,2.7603276,0.0,1.564715,0.1252476,0.0,1.6377786,0.0,0.0,0.0,0.0,0.3208205,0.22780326,1.3566422,1.8695934,2.4952338,0.0,2.0177648,0.3157973,0.7094603,2.3247302,1.1794672
TCGA-4H-AAAK,0.99734896,2.7528722,0.9387258,1.1732886,2.7220728,1.1817302,0.0,0.0,2.3910775,0.8104283,0.5050604,1.4790069,1.1196454,3.9518042,0.0,0.55881655,0.57340616,0.18693024,2.722853,0.0,0.0,1.2500558,1.1067681,0.0,0.0,0.06421161,0.0,0.7412187,1.0201939,1.9695386,0.0,3.9904797,1.1318238,0.6274664,0.36885586,1.940378,1.1676844,2.1651037,0.0,0.0,0.3156385,0.0,2.0221796,3.752804,1.0969228,1.8614389,0.6350608,0.0,0.7564601,0.0,0.0,0.0,0.0,0.6593164,0.52558655,1.1112008,2.4995298,2.6397796,0.0,1.4526513,0.0,2.3499658,2.7436848,2.0327272
TCGA-5L-AAT0,2.2420642,4.22575,1.8989047,1.1885079,2.203838,0.18146992,0.0,0.61895484,2.994236,0.6704922,0.0,2.0149736,0.0,2.4082854,0.0,0.0,0.005943969,0.0,2.4795845,0.0,0.0,1.1939291,1.3871636,0.0,0.42247978,0.74667823,0.0,0.0,0.79490215,2.10265,0.0,3.4040353,1.1926551,0.9111061,1.5147629,3.469702,1.1964422,1.4762951,0.0,0.0,0.0,0.67366993,1.4395368,2.0972548,1.0974376,3.1188328,0.8258321,0.0,0.8127657,0.0,0.0,0.0,0.0,2.0683281,0.0,0.45910823,1.3922873,2.6242526,0.0,0.3140539,0.0,1.945472,2.966317,1.6405743
TCGA-5T-A9QA,0.0,2.161045,1.8187599,0.189897,2.7383227,0.0,1.3313587,0.0,0.41555348,3.7934833,2.9347525,2.6675391,4.0302715,0.0,0.0,1.6440406,0.0,0.0,3.4017832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4283504,0.98974293,1.8441799,2.0721712,3.5737853,2.3602338,1.011396,0.5773837,1.5833552,0.0,1.9554194,0.26651567,1.397713,2.0697415,0.43710434,0.39395386,0.0,1.4221284,0.6722077,0.009661423,3.380182,0.26636714,0.0,3.2205482,2.3462207,5.647452,0.0,4.984829,0.28326923,1.5070286,0.0,0.0,0.0,3.6806257
TCGA-A1-A0SB,1.6442497,0.0,0.0,0.0,0.0,3.0636206,0.0,5.767528,6.3170137,0.4298207,0.0,0.0,0.0,0.0,1.4213142,0.0,0.0,4.733168,2.7894328,2.689677,0.0,1.4128025,1.7458041,0.39535707,0.0,0.18321753,0.47462147,1.4247515,0.1821217,1.7021636,1.0207934,5.3932257,0.0,0.0,0.0,0.0,0.0,3.262791,0.0,0.0708121,0.60106647,3.0992806,0.0,0.0,2.7212665,2.5590782,0.33423665,0.0,0.0,1.3691981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3611146,0.0,3.2632642,0.0
TCGA-A1-A0SD,0.0,2.0936818,0.6673685,1.7952697,1.061567,1.0172964,0.0,1.6609479,1.5450726,3.5937257,0.0,3.2589471,0.5189452,0.0,0.0,0.022014245,0.23709509,0.79913956,4.3783836,0.0,0.0,2.2586372,0.13573179,0.0,0.14145464,1.4722269,0.0,0.0,0.0,0.0,0.27719846,1.929212,3.3780277,0.0,0.5657839,1.5755179,1.6033959,2.971025,0.0,0.0,0.0,0.61495864,1.8592227,1.4652842,0.89565665,1.7541238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81458,0.0,0.9770672,2.567309,1.5369195,0.0,0.62872136,0.0,2.1900182,2.2442992,2.1616187
TCGA-A1-A0SE,0.0,1.5625844,1.7834167,1.3225341,2.7324808,0.9977809,0.0,1.7786375,0.049874976,1.3808123,0.8124052,1.3985863,0.0,1.6504484,0.0,0.0,0.5869186,0.0,2.0885835,0.0,0.0,0.0,0.34355474,0.0,1.0400589,0.0,0.0,0.0,0.0,2.4256852,0.72786224,4.878399,2.337037,0.0,2.3278399,1.0976182,1.3542879,2.7740262,0.0,0.0,0.0,0.0,2.087141,2.1002924,1.0236498,2.0290575,0.0,0.0,0.0,0.68355715,0.04195988,1.5185066,0.0,1.6123406,0.6384819,2.3313217,2.7051673,0.17260365,1.3875289,1.5027514,0.28144893,0.34724772,1.0969069,2.0704968
TCGA-A1-A0SF,1.7157971,4.216629,0.66439116,0.0,1.9326466,0.02236095,0.0,0.029225226,2.2018437,0.2275469,1.2443889,0.5431639,1.5834543,1.1558428,0.0,0.0,0.0,0.0,1.9273448,0.0,0.0,1.0450479,1.3125409,0.5670037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6381838,0.2889018,0.45337886,0.0,2.5438178,0.09567099,0.0,0.0,0.0,0.0,2.102018,4.0279875,0.9336642,2.548686,3.0660658,0.16149828,0.0,0.8118573,0.0,0.0,0.0,0.0,2.4234388,0.0,1.6716237,2.0209215,2.3016922,0.0,0.0,0.0,1.5703554,1.3148301,0.43459707
TCGA-A1-A0SG,3.2510257,3.123549,0.0,0.7422669,1.054375,0.0,0.0,0.0,2.2491574,2.7368116,0.0381958,0.0,2.5433369,0.0,0.0,0.0,0.0,0.26536256,1.3035213,0.0,0.0,0.0,1.1022726,0.0,0.0,0.0,0.0,0.18873979,0.0,0.15754431,0.274079,0.10958425,0.0,0.0,0.0,4.697972,0.0,0.7571274,0.0,0.0,0.0,2.7155077,6.8793664,3.3065617,1.8718715,0.7108756,0.040150404,0.0,0.88702947,0.0,0.0072792917,0.0,0.0,1.0208002,1.4349501,1.5134883,2.9585652,2.299217,0.0,0.0,0.0,5.679762,1.9129436,1.5298905
TCGA-A1-A0SH,0.0,1.0374924,0.42544466,0.08267615,2.3465664,0.595376,0.0,0.09388843,2.2871246,1.3038675,0.0,0.8652159,0.0,4.2501206,0.0,0.0,1.0303539,1.6734842,2.3037632,0.0,0.0,1.8008964,0.88569367,1.0020595,0.0,0.0,0.0,1.6304805,1.5653903,2.1856987,0.0,2.2659464,4.0567613,0.0,0.5678944,0.4946973,1.2966455,4.027984,0.0,0.0,0.027853932,0.0,2.926102,3.4538476,1.4006639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13932893,0.7005886,0.8663465,2.278447,2.1047387,1.3150408,0.06127227,0.37188894,0.0,0.20363183,4.1487713,1.0367228
TCGA-A1-A0SI,0.0,1.9689116,1.6006231,0.0,1.3195195,0.0,0.0,0.0,0.0,0.8012587,2.5358644,0.0,0.6504718,4.156925,0.0,0.0,3.4587677,0.91877013,1.8551146,0.0,0.7415061,1.7569332,1.0245328,0.6534275,0.0,0.0,0.0,0.5941737,0.7955432,2.0749514,0.0,2.3973892,1.0277721,0.0,0.78477156,0.0,0.7755326,1.7301295,0.0,0.0,0.20602092,0.0,1.4171135,3.5632467,2.5803142,0.43656373,0.15116708,0.0,0.5958717,0.0,2.1651833,0.08627972,0.0,0.0,3.0036914,2.2346554,0.33552435,0.028573178,0.75118476,0.0,0.0,0.0,2.4194338,0.0
TCGA-A1-A0SJ,0.0,0.0,0.0,1.4998629,2.7995317,1.8474932,0.0,1.698832,0.0,2.5039253,0.0,3.638335,0.36375389,0.8556815,0.0,0.16242954,0.7102081,1.2441157,3.629252,0.0,0.0,2.6057646,0.0,0.0,0.0,0.072105624,0.0,0.43421334,0.0,0.0,0.48305523,1.1784647,2.243566,0.6623605,0.0,0.2937649,1.2230306,2.5173697,0.0,0.19480166,0.0,0.4493705,4.240544,2.0791533,1.2629117,1.4143577,0.0,0.0,0.0,0.17536464,0.0,0.6812263,0.6720996,0.8792802,2.0735047,3.043638,3.427817,1.2150655,0.13795221,4.3545203,0.0,3.482694,1.2939935,2.142131
TCGA-A1-A0SK,1.4169661,0.0,0.0,0.0,0.0,5.647725,0.15795395,0.0,0.0,0.0,7.7349205,0.0,0.10563298,0.0,0.19290693,0.0,0.0,1.28695,3.6197042,0.43081856,3.7196124,0.0,0.0,0.0,0.0,0.0,2.025883,2.278528,0.0,0.0,0.0,5.2617826,0.0,2.7715404,0.0,0.0,0.0,0.0,0.0,1.8074903,3.4305487,5.464069,0.0,0.0,0.71611446,0.5892063,0.0,0.0,0.0,4.5232887,0.0,0.59146804,3.2293673,5.8274484,7.0281086,0.9776531,0.0,0.0,0.0,0.0,1.9789051,0.0,0.0,3.5648692
TCGA-A1-A0SM,0.0,0.99608386,0.0,0.0,1.2754793,0.07052578,0.73873913,0.0,0.6270722,2.035267,1.2701408,0.24964976,0.68859124,3.200136,3.0507352,0.0,1.2679621,0.0,3.6152105,0.0,0.0,0.0,0.706995,0.13169548,0.0,0.0,0.0,0.6946204,0.0,0.0,1.3278137,0.7796827,4.5098877,0.0,1.2818985,0.41201186,3.5179098,2.8906872,0.0,0.0,1.4900804,0.0,1.3181486,3.6152844,0.0,0.0,1.5637496,0.0,2.2578692,0.0,2.0807574,0.0,0.31261703,0.0,0.0,2.5492866,0.37656915,4.2082925,1.4877732,0.78959423,0.0,0.78063005,1.450536,3.2147355
